강일리버파크1단지,"강동구 아리수로93가길 25(강일동, 강일리버파크1단지아파트)"
강일리버파크2단지,"강동구 아리수로97길 68(강일동, 강일리버파크2단지아파트)"
강일리버파크3단지,"강동구 아리수로93길 40(강일동, 강일리버파크3단지아파트)"
강일리버파크4단지,"강동구 아리수로97길 19(강일동, 강일리버파크4단지아파트)"
강일리버파크5단지,"강동구 아리수로97길 20(강일동, 강일리버파크5단지아파트)"
강일리버파크6단지,"강동구 아리수로94길 19(강일동, 강일리버파크6단지아파트)"
강일리버파크7단지,"강동구 아리수로98길 25(강일동, 강일리버파크7단지아파트)"
강일리버파크8단지,"강동구 아리수로94길 72(강일동, 강일리버파크8단지아파트)"
강일리버파크9단지,"강동구 고덕로97길 29(강일동, 강일리버파크9단지아파트)"
강일리버파크10단지,"강동구 고덕로97길 20(강일동, 강일리버파크10단지아파트)"
강일리버파크11단지,"강동구 고덕로97길 100(강일동, 강일리버파크11단지아파트)"
고덕리엔파크1단지,"강동구 상일로 152(강일동, 고덕리엔파크1단지아파트)"
고덕리엔파크2단지,"강동구 고덕로 427(강일동, 고덕리엔파크2단지아파트)"
강동리버스트 7단지,강동구 아리수로 93가길 70
강동리버스트 4단지,"강동구 아리수로93가길 110(강일동, 강동리버스트 4단지)"
강동리버스트 6단지,"서울특별시 강동구 아리수로93가길 77(강일동, 강동리버스트 6단지)"
강동리버스트 8단지,"강동구 아리수로93나길 88(강일동, 강동리버스트 8단지)"
상일동,강동구 상일로5길 26(상일동)
게내,"강동구 천호대로219길 72, 2층"
상일1동제2,강동구 상암로 413
상일중앙하이츠,"강동구 구천면로 557(상일동, 명일중앙하이츠아파트)"
삼성빌라,"강동구 상암로 325(상일동, 삼성빌라)"
고덕숲아이파크,"강동구 고덕로80길 134, 105동 지하1층(상일동)"
고덕 아르테온A,"강동구 고덕로360(상일동, 고덕아르테온아파트)"
고덕 아르테온2A,"고덕로 360(상일동, 고덕아르테온)"
고덕롯데캐슬베네루체A,강동구 상암로 79길 88
고덕자이A,"강동구 상일로 55(상일동, 고덕자이아파트)"
상일동아A,강동구 상암로81길7(상일동)
고덕리엔파크3단지,"강동구 상일로 74(상일동, 고덕리엔파크3단지아파트)"
강동리엔파크 9단지,강동구 고덕로 98길 29(강일리엔파크 9단지)
강동리엔파크 11단지,"강동구 고덕로 98길 101(상일동, 강동리엔파크11단지)"
강동리엔파크 14단지,"서울특별시 강동구 고덕로98길 160(상일동, 강동리엔파크14단지)"
강동리엔파크 13단지,"강동구 고덕로98길 161(상일동, 강동리엔파크13단지)"
명일1동,강동구 양재대로138길 29(명일동)
샘물,강동구 천중로49길 104(명일동)
삼익2차A,"강동구 고덕로 210(명일동, 삼익그린맨션)"
삼익가든A,"강동구 상암로 224(명일동, 삼익가든아파트)"
명일지에스,"강동구 상암로51길 54(명일동, 지에스아파트)"
 래미안 솔베뉴A,"강동구 양재대로 1650(명일동, 래미안솔베뉴)"
명일1동우성A,"고덕로38길 34-9(명일동, 우성아파트)"
원터골,강동구 동남로65길 46-8(명일동)
명일주공9단지A,"강동구 상암로 251(명일동, 고덕주공아파트)"
